Time,Queue length
532,3
533,3
534,3
535,3
536,4
537,4
538,4
539,4
540,4
541,5
542,5
543,5
544,5
545,5
546,5
547,5
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,5
558,5
559,5
560,5
561,5
562,6
563,7
564,7
565,6
566,6
567,6
568,6
569,6
570,6
571,6
572,6
573,6
574,5
575,5
576,5
577,5
578,5
579,6
580,7
581,7
582,7
583,8
584,8
585,8
586,7
587,7
588,7
589,7
590,7
591,7
592,8
593,8
594,8
595,8
596,10
597,10
598,10
599,10
600,9
601,8
602,9
603,9
604,9
605,9
606,9
607,9
608,7
609,8
610,9
611,9
612,9
613,9
614,9
615,9
616,9
617,10
618,10
619,10
620,10
621,10
622,10
623,11
624,11
625,11
626,11
627,11
628,11
629,11
630,12
631,12
632,12
633,11
634,11
635,11
636,11
637,11
638,11
639,11
640,12
641,12
642,13
643,13
644,13
645,13
646,12
647,12
648,12
649,12
650,12
651,13
652,13
653,13
654,13
655,13
656,13
657,13
658,13
659,13
660,13
661,13
662,13
663,13
664,13
665,13
666,13
667,13
668,13
669,13
670,13
671,13
672,13
673,13
674,13
675,13
676,13
677,13
678,13
679,13
680,13
681,13
682,13
683,13
684,13
685,13
686,13
687,13
688,13
689,14
690,13
691,12
692,12
693,11
694,11
695,11
696,10
697,9
698,10
699,10
700,10
701,10
702,10
703,10
704,10
705,10
706,10
707,10
708,10
709,10
710,11
711,11
712,11
713,11
714,11
715,11
716,11
717,10
718,10
719,10
720,10
721,10
722,10
723,9
724,9
725,9
726,9
727,9
728,9
729,9
730,10
731,10
732,10
733,10
734,10
735,10
736,10
737,10
738,10
739,10
740,10
741,10
742,10
743,10
744,10
745,9
746,9
747,9
748,11
749,11
750,11
751,11
752,11
753,11
754,11
755,11
756,11
757,11
758,11
759,11
760,11
761,11
762,10
763,10
764,10
765,10
766,10
767,12
768,12
769,12
770,11
771,11
772,11
773,12
774,12
775,13
776,13
777,14
778,14
779,16
780,16
781,16
782,16
783,15
784,16
785,16
786,16
787,16
788,16
789,16
790,17
791,17
792,17
793,17
794,16
795,17
796,17
797,17
798,17
799,17
800,17
801,17
802,16
803,16
804,16
805,16
806,16
807,16
808,16
809,16
810,18
811,18
812,18
813,19
814,19
815,18
816,17
817,17
818,17
819,17
820,17
821,17
822,17
823,17
824,17
825,17
826,17
827,16
828,16
829,16
830,16
831,15
832,15
833,15
834,15
835,15
836,15
837,15
838,15
839,15
840,15
841,15
842,15
843,15
844,14
845,14
846,15
847,15
848,15
849,15
850,15
851,15
852,15
853,14
854,14
855,14
856,13
857,13
858,12
859,12
860,11
861,11
862,11
863,11
864,11
865,11
866,12
867,11
868,11
869,11
870,11
871,11
872,11
873,11
874,11
875,12
876,12
877,12
878,12
879,12
880,12
881,12
882,12
883,12
884,12
885,11
886,11
887,11
888,11
889,10
890,10
891,10
892,10
893,10
894,10
895,10
896,10
897,10
898,10
899,10
900,10
901,10
902,9
903,9
904,8
905,7
906,7
907,7
908,6
909,6
910,8
911,8
912,8
913,8
914,8
915,8
916,8
917,8
918,8
919,7
920,7
921,7
922,7
923,7
924,7
925,7
926,7
927,7
928,7
929,7
930,6
931,6
932,6
933,6
934,6
935,6
936,7
937,7
938,7
939,7
940,7
941,7
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,7
950,7
951,7
952,7
953,7
954,7
955,7
956,7
957,7
958,6
959,6
960,5
961,5
962,5
963,5
964,4
965,3
966,3
967,3
968,3
969,3
970,3
971,3
972,4
973,4
974,4
975,4
976,3
977,3
978,3
979,3
980,2
981,2
982,2
983,2
984,3
985,3
986,3
987,3
988,3
989,3
990,3
991,3
992,3
993,3
994,3
995,3
996,4
997,4
998,4
999,4
1000,4
1001,4
1002,3
1003,2
1004,2
1005,2
1006,0
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,2
1014,2
1015,2
1016,3
1017,3
1018,3
1019,3
1020,3
1021,3
1022,3
1023,3
1024,2
1025,2
1026,3
1027,3
1028,3
1029,3
1030,3
1031,3
1032,3
1033,2
1034,2
1035,2
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,1
1066,0
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,0
1074,0
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,0
1091,0
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,2
1104,2
1105,2
1106,2
1107,2
1108,3
1109,3
1110,3
1111,2
1112,2
1113,2
1114,2
1115,2
1116,2
1117,2
1118,2
1119,2
1120,3
1121,3
1122,3
1123,3
1124,3
1125,3
1126,3
1127,3
1128,3
1129,3
1130,3
1131,3
1132,3
1133,3
1134,2
1135,2
1136,2
1137,2
1138,2
1139,2
1140,2
1141,3
1142,3
1143,3
1144,3
1145,3
1146,3
1147,4
1148,4
1149,4
1150,4
1151,5
1152,5
1153,6
1154,6
1155,6
1156,6
1157,5
1158,5
1159,5
1160,6
1161,6
1162,6
1163,6
1164,5
1165,5
1166,5
1167,5
1168,5
1169,5
1170,5
1171,5
1172,5
1173,7
1174,6
1175,6
1176,6
1177,6
1178,7
1179,7
1180,6
1181,6
1182,6
1183,6
1184,6
1185,6
1186,6
1187,6
1188,6
1189,6
1190,5
1191,5
1192,5
1193,5
1194,5
1195,5
1196,5
1197,5
1198,5
1199,5
1200,5
1201,5
1202,5
1203,5
1204,5
1205,6
1206,6
1207,7
1208,6
1209,6
1210,6
1211,5
1212,4
1213,4
1214,5
1215,5
1216,5
1217,5
1218,5
1219,5
1220,5
1221,5
1222,5
1223,5
1224,5
1225,5
1226,5
1227,6
1228,6
1229,6
1230,6
1231,6
1232,6
1233,6
1234,6
1235,6
1236,6
1237,6
1238,6
1239,6
1240,7
1241,7
1242,7
1243,7
1244,7
1245,7
1246,7
1247,7
1248,6
1249,6
1250,7
1251,7
1252,7
1253,7
1254,7
1255,7
1256,7
1257,7
1258,7
1259,7
1260,7
1261,7
1262,6
1263,6
1264,6
1265,6
1266,6
1267,6
1268,6
1269,6
1270,6
1271,6
1272,6
1273,6
1274,6
1275,6
1276,6
1277,6
1278,6
1279,6
1280,6
1281,6
1282,6
1283,7
1284,7
1285,7
1286,6
1287,7
1288,7
1289,7
1290,7
1291,7
1292,7
1293,7
1294,7
1295,7
1296,8
1297,8
1298,8
1299,8
1300,8
1301,8
1302,8
1303,7
1304,7
1305,7
1306,7
1307,7
1308,7
1309,7
1310,7
1311,7
1312,6
1313,6
1314,6
1315,6
1316,7
1317,7
1318,7
1319,6
1320,6
1321,6
1322,6
1323,6
1324,6
1325,6
1326,6
1327,6
1328,6
1329,6
1330,6
1331,6
1332,6
1333,6
1334,6
1335,6
1336,6
1337,6
1338,5
1339,5
1340,5
1341,5
1342,4
1343,4
1344,4
1345,3
1346,4
1347,4
1348,4
1349,4
1350,4
1351,4
1352,4
1353,4
1354,4
1355,4
1356,4
1357,5
1358,5
1359,5
1360,6
1361,6
1362,6
1363,6
1364,6
1365,6
1366,5
1367,5
1368,5
1369,5
1370,5
1371,5
1372,5
1373,5
1374,6
1375,6
1376,6
1377,6
1378,6
1379,6
1380,6
1381,6
1382,6
1383,6
1384,6
1385,6
1386,6
1387,7
1388,7
1389,7
1390,7
1391,7
1392,8
1393,9
1394,9
1395,9
1396,9
1397,10
1398,10
1399,10
1400,10
1401,10
1402,9
1403,9
1404,9
1405,9
1406,9
1407,9
1408,9
1409,9
1410,9
1411,9
1412,10
1413,10
1414,10
1415,11
1416,11
1417,11
1418,11
1419,11
1420,11
1421,11
1422,11
1423,11
1424,11
1425,11
1426,11
1427,11
1428,11
1429,11
1430,11
1431,12
1432,12
1433,12
1434,12
1435,12
1436,12
1437,12
1438,13
1439,13
1440,13
1441,13
1442,13
1443,13
1444,13
1445,13
1446,13
1447,13
1448,13
1449,13
1450,13
1451,13
1452,13
1453,13
1454,13
1455,13
1456,13
1457,14
1458,14
1459,14
1460,14
1461,15
1462,15
1463,14
1464,14
1465,14
1466,14
1467,14
1468,14
1469,14
1470,14
1471,14
1472,15
1473,15
1474,15
1475,15
1476,15
1477,16
1478,15
1479,15
1480,15
1481,15
1482,15
1483,15
1484,16
1485,16
1486,16
1487,16
1488,16
1489,16
1490,16
1491,16
1492,16
1493,16
1494,16
1495,16
1496,16
1497,16
1498,16
1499,16
1500,16
1501,16
1502,17
1503,18
1504,18
1505,18
1506,17
1507,18
1508,18
1509,18
1510,18
1511,18
1512,18
1513,18
1514,18
1515,18
1516,18
1517,18
1518,18
1519,18
1520,19
1521,19
1522,19
1523,19
1524,19
1525,18
1526,18
1527,17
1528,17
1529,17
1530,17
1531,16
1532,16
1533,16
1534,16
1535,16
1536,16
1537,16
1538,16
1539,16
1540,16
1541,16
1542,16
1543,16
1544,18
1545,18
1546,18
1547,19
1548,19
1549,20
1550,20
1551,20
1552,20
1553,20
1554,20
1555,20
1556,20
1557,20
1558,20
1559,20
1560,20
1561,20
1562,20
1563,20
1564,20
1565,20
1566,20
1567,20
1568,22
1569,22
1570,21
1571,21
1572,21
1573,21
1574,21
1575,21
1576,21
1577,21
1578,21
1579,22
1580,22
1581,22
1582,22
1583,23
1584,23
1585,24
1586,24
1587,24
1588,23
1589,23
1590,24
1591,24
1592,24
1593,24
1594,24
1595,24
1596,24
1597,24
1598,24
1599,24
1600,24
1601,24
1602,24
1603,25
1604,25
1605,25
1606,25
1607,25
1608,25
1609,25
1610,25
1611,25
1612,25
1613,25
1614,24
1615,24
1616,22
1617,22
1618,22
1619,22
1620,22
1621,23
1622,23
1623,24
1624,24
1625,24
1626,24
1627,23
1628,22
1629,22
1630,22
1631,22
1632,22
1633,22
1634,22
1635,22
1636,22
1637,21
1638,21
1639,21
1640,21
1641,21
1642,21
1643,21
1644,21
1645,21
1646,21
1647,21
1648,21
1649,21
1650,22
1651,22
1652,23
1653,22
1654,22
1655,22
1656,21
1657,21
1658,21
1659,21
1660,21
1661,21
1662,20
1663,19
1664,20
1665,20
1666,20
1667,20
1668,20
1669,21
1670,21
1671,21
1672,21
1673,21
1674,21
1675,21
1676,21
1677,21
1678,21
1679,21
1680,22
1681,22
1682,22
1683,22
1684,22
1685,22
1686,22
1687,23
1688,24
1689,24
1690,24
1691,24
1692,24
1693,24
1694,25
1695,25
1696,25
1697,25
1698,25
1699,25
1700,25
1701,26
1702,26
1703,26
1704,26
1705,26
1706,25
1707,25
1708,25
1709,25
1710,25
1711,24
1712,24
1713,23
1714,23
1715,23
1716,22
1717,22
1718,22
1719,23
1720,23
1721,23
1722,23
1723,23
1724,23
1725,24
1726,23
1727,23
1728,22
1729,22
1730,22
1731,22
1732,22
1733,22
1734,22
1735,22
1736,22
1737,22
1738,21
1739,20
1740,20
1741,20
1742,21
1743,21
1744,21
1745,21
1746,21
1747,21
1748,21
1749,21
1750,21
1751,21
1752,21
1753,21
1754,21
1755,21
1756,21
1757,21
1758,20
1759,20
1760,20
1761,20
1762,21
1763,21
1764,21
1765,19
1766,20
1767,20
1768,19
1769,19
1770,19
1771,19
1772,20
1773,20
1774,20
1775,21
1776,21
1777,21
1778,21
1779,21
1780,21
1781,19
1782,19
1783,19
1784,19
1785,19
1786,19
1787,19
1788,19
1789,19
1790,19
1791,19
1792,19
1793,19
1794,19
1795,19
1796,19
1797,19
1798,19
1799,19
1800,17
1801,17
1802,17
1803,18
1804,18
1805,18
1806,18
1807,18
1808,18
1809,18
1810,18
1811,20
1812,20
1813,20
1814,20
1815,20
1816,19
1817,19
1818,19
1819,18
1820,18
1821,18
1822,18
1823,19
1824,19
1825,18
1826,18
1827,18
1828,17
1829,18
1830,18
1831,18
1832,17
1833,17
1834,17
1835,17
1836,17
1837,17
1838,17
1839,16
1840,16
1841,16
1842,16
1843,16
1844,16
1845,16
1846,15
1847,15
1848,15
1849,15
1850,15
1851,15
1852,15
1853,15
1854,15
1855,15
1856,15
1857,15
1858,15
1859,15
1860,16
1861,16
1862,16
1863,16
1864,16
1865,16
1866,16
1867,16
1868,15
1869,15
1870,16
1871,16
1872,16
1873,16
1874,16
1875,16
1876,16
1877,17
1878,17
1879,17
1880,17
1881,17
1882,17
1883,17
1884,17
1885,17
1886,17
1887,17
1888,17
1889,17
1890,17
1891,17
1892,18
1893,18
1894,18
1895,18
1896,18
1897,18
1898,18
1899,19
1900,18
1901,18
1902,18
1903,18
1904,18
1905,18
1906,17
1907,17
1908,17
1909,16
1910,16
1911,16
1912,16
1913,16
1914,16
1915,18
1916,18
1917,18
1918,18
1919,18
1920,18
1921,18
1922,18
1923,17
1924,18
1925,18
1926,18
1927,19
1928,19
1929,19
1930,19
1931,19
1932,19
1933,18
1934,16
1935,17
1936,17
1937,17
1938,17
1939,17
1940,17
1941,17
1942,17
1943,16
1944,16
1945,16
1946,16
1947,16
1948,16
1949,16
1950,16
1951,16
1952,16
1953,16
1954,16
1955,16
1956,16
1957,16
1958,16
1959,16
1960,16
1961,17
1962,17
1963,17
1964,17
1965,17
1966,17
1967,18
1968,18
1969,18
1970,18
1971,18
1972,18
1973,18
1974,18
1975,18
1976,18
1977,16
1978,16
1979,16
1980,16
1981,16
1982,16
1983,16
1984,16
1985,14
1986,14
1987,14
1988,13
1989,13
1990,13
1991,13
1992,13
1993,13
1994,14
1995,14
1996,14
1997,14
1998,13
1999,13
2000,13
2001,13
2002,12
2003,12
2004,12
2005,12
2006,12
2007,12
2008,12
2009,12
2010,11
2011,10
2012,8
2013,8
2014,7
2015,7
2016,7
2017,7
2018,7
2019,7
2020,7
2021,7
2022,7
2023,7
2024,7
2025,7
2026,7
2027,7
2028,7
2029,8
2030,8
2031,9
2032,9
2033,9
2034,9
2035,9
2036,9
2037,10
2038,10
2039,10
2040,10
2041,10
2042,10
2043,10
2044,10
2045,10
2046,10
2047,10
2048,10
2049,10
2050,10
2051,11
2052,11
2053,11
2054,11
2055,11
2056,11
2057,11
2058,11
2059,11
2060,11
2061,11
2062,12
2063,11
2064,11
2065,11
2066,12
2067,12
2068,12
2069,13
2070,13
2071,13
2072,13
2073,13
2074,13
2075,13
2076,13
2077,13
2078,13
2079,12
2080,12
2081,11
2082,11
2083,11
2084,11
2085,11
2086,11
2087,11
2088,11
2089,12
2090,12
2091,11
2092,11
2093,11
2094,11
2095,11
2096,11
2097,11
2098,11
2099,11
2100,10
2101,10
2102,11
2103,10
2104,10
2105,9
2106,9
2107,9
2108,9
2109,9
2110,9
2111,9
2112,9
2113,9
2114,9
2115,9
2116,9
2117,9
2118,9
2119,9
2120,9
2121,9
2122,9
2123,9
2124,9
2125,10
2126,10
2127,11
2128,11
2129,11
2130,12
2131,12
2132,12
2133,12
2134,12
2135,12
2136,13
2137,12
2138,12
2139,13
2140,13
2141,13
2142,13
2143,12
2144,12
2145,12
2146,13
2147,13
2148,13
2149,13
2150,14
2151,14
2152,14
2153,13
2154,13
2155,13
2156,13
2157,13
2158,13
2159,12
2160,13
2161,13
2162,13
2163,12
2164,12
2165,12
2166,12
2167,12
2168,11
2169,11
2170,11
2171,11
2172,11
2173,11
2174,11
2175,11
2176,11
2177,11
2178,11
2179,12
2180,12
2181,12
2182,12
2183,11
2184,11
2185,11
2186,11
2187,11
2188,12
2189,12
2190,12
2191,12
2192,12
2193,12
2194,13
2195,13
2196,13
2197,13
2198,13
2199,13
2200,13
2201,13
2202,13
2203,13
2204,13
2205,13
2206,13
2207,12
2208,11
2209,11
2210,11
2211,11
2212,12
2213,11
2214,11
2215,11
2216,11
2217,11
2218,11
2219,10
2220,10
2221,10
2222,10
2223,11
2224,11
2225,11
2226,10
2227,10
2228,10
2229,11
2230,12
2231,12
2232,12
2233,12
2234,12
2235,12
2236,12
2237,13
2238,13
2239,13
2240,13
2241,13
2242,13
2243,13
2244,13
2245,13
2246,13
2247,14
2248,14
2249,14
2250,14
2251,14
2252,14
2253,14
2254,14
2255,14
2256,14
2257,14
2258,14
2259,14
2260,14
2261,14
2262,14
2263,15
2264,15
2265,15
2266,15
2267,15
2268,15
2269,15
2270,16
2271,16
2272,16
2273,16
2274,16
2275,16
2276,16
2277,16
2278,16
2279,16
2280,16
2281,16
2282,17
2283,17
2284,18
2285,18
2286,19
2287,19
2288,19
2289,19
2290,19
2291,19
2292,20
2293,20
2294,20
2295,20
2296,20
2297,20
2298,22
2299,22
2300,22
2301,22
2302,22
2303,22
2304,21
2305,22
2306,22
2307,22
2308,22
2309,22
2310,22
2311,22
2312,22
2313,22
2314,23
2315,24
2316,24
2317,23
2318,23
2319,23
2320,23
2321,23
2322,23
2323,23
2324,23
2325,23
2326,23
2327,23
2328,23
2329,23
2330,23
2331,23
2332,23
2333,23
2334,23
2335,22
2336,22
2337,22
2338,22
2339,21
2340,21
2341,23
2342,23
2343,23
2344,23
2345,23
2346,23
2347,23
2348,23
2349,21
2350,22
2351,22
2352,22
2353,22
2354,22
2355,22
2356,22
2357,22
2358,22
2359,22
2360,23
2361,24
2362,24
2363,25
2364,25
2365,25
2366,26
2367,27
2368,27
2369,27
2370,27
2371,27
2372,27
2373,27
2374,26
2375,26
2376,27
2377,27
2378,27
2379,26
2380,26
2381,26
2382,26
2383,26
2384,26
2385,26
2386,27
2387,27
2388,27
2389,27
2390,27
2391,27
2392,28
2393,28
2394,28
2395,28
2396,28
2397,28
2398,28
2399,27
2400,27
2401,27
2402,27
2403,27
2404,27
2405,27
2406,27
2407,27
2408,27
2409,27
2410,27
2411,27
2412,27
2413,27
2414,27
2415,27
2416,27
2417,27
2418,27
2419,27
2420,27
2421,27
2422,27
2423,27
2424,27
2425,27
2426,27
2427,28
2428,28
2429,28
2430,28
2431,28
2432,28
2433,28
2434,28
2435,28
2436,28
2437,28
2438,28
2439,29
2440,29
2441,29
2442,29
2443,28
2444,29
2445,30
2446,30
2447,30
2448,30
2449,30
2450,30
2451,30
2452,30
2453,30
2454,30
2455,31
2456,31
2457,31
2458,30
2459,29
2460,29
2461,29
2462,29
2463,29
2464,29
2465,29
2466,29
2467,29
2468,29
2469,29
2470,30
2471,30
2472,30
2473,31
2474,31
2475,31
2476,31
2477,31
2478,31
2479,31
2480,31
2481,31
2482,31
2483,31
2484,31
2485,31
2486,31
2487,31
2488,31
2489,31
2490,30
2491,30
2492,31
2493,31
2494,31
2495,30
2496,29
2497,29
2498,29
2499,29
2500,29
2501,30
2502,30
2503,30
2504,30
2505,30
2506,30
2507,31
2508,31
2509,31
2510,31
2511,31
2512,31
2513,31
2514,31
2515,32
2516,32
2517,31
2518,31
2519,31
2520,31
2521,31
2522,31
2523,30
2524,30
2525,30
2526,30
2527,30
2528,30
2529,30
2530,30
2531,29
2532,29
2533,29
2534,29
2535,29
2536,29
2537,28
2538,28
2539,28
2540,28
2541,28
2542,28
2543,28
2544,29
2545,29
2546,29
2547,29
2548,29
2549,29
2550,29
2551,29
2552,29
2553,29
2554,28
2555,28
2556,29
2557,29
2558,29
2559,29
2560,29
2561,30
2562,32
2563,32
2564,32
2565,32
2566,32
2567,32
2568,32
2569,32
2570,31
2571,31
2572,31
2573,31
2574,31
2575,31
2576,31
2577,31
2578,31
2579,30
2580,31
2581,31
2582,31
2583,31
2584,30
2585,30
2586,30
2587,30
2588,30
2589,30
2590,30
2591,30
2592,30
2593,30
2594,30
2595,30
2596,29
2597,29
2598,28
2599,29
2600,29
2601,29
2602,27
2603,27
2604,27
2605,26
2606,26
2607,26
2608,26
2609,26
2610,25
2611,25
2612,25
2613,25
2614,26
2615,26
2616,27
2617,27
2618,27
2619,27
2620,26
2621,26
2622,26
2623,26
2624,26
2625,26
2626,27
2627,27
2628,27
2629,27
2630,27
2631,27
2632,27
2633,27
2634,27
2635,28
2636,28
2637,28
2638,28
2639,28
2640,28
2641,27
2642,27
2643,26
2644,25
2645,25
2646,25
2647,25
2648,24
2649,24
2650,24
2651,25
2652,25
2653,25
2654,25
2655,25
2656,25
2657,25
2658,25
2659,25
2660,25
2661,24
2662,24
2663,24
2664,24
2665,24
2666,24
2667,24
2668,24
2669,24
2670,24
2671,24
2672,24
2673,24
2674,23
2675,23
2676,23
2677,23
2678,23
2679,23
2680,24
2681,23
2682,23
2683,23
2684,22
2685,21
2686,20
2687,20
2688,20
2689,21
2690,20
2691,20
2692,19
2693,19
2694,19
2695,19
2696,19
2697,19
2698,19
2699,19
2700,19
2701,19
2702,19
2703,19
2704,19
2705,19
2706,19
2707,19
2708,19
2709,19
2710,19
2711,18
2712,18
2713,19
2714,19
2715,19
2716,19
2717,20
2718,20
2719,21
2720,21
2721,21
2722,21
2723,19
2724,19
2725,19
2726,19
2727,19
2728,19
2729,19
2730,19
2731,19
2732,19
2733,19
2734,18
2735,18
2736,18
2737,18
2738,19
2739,19
2740,19
2741,19
2742,19
2743,19
2744,19
2745,19
2746,19
2747,19
2748,19
2749,19
2750,19
2751,19
2752,19
2753,18
2754,18
2755,18
2756,17
2757,17
2758,17
2759,18
2760,17
2761,16
2762,17
2763,18
2764,19
2765,19
2766,19
2767,19
2768,19
2769,19
2770,18
2771,18
2772,20
2773,20
2774,20
2775,20
2776,20
2777,20
2778,19
2779,19
2780,19
2781,20
2782,20
2783,19
2784,16
2785,16
2786,16
2787,16
2788,16
2789,16
2790,16
2791,16
2792,16
2793,15
2794,15
2795,15
2796,14
2797,14
2798,14
2799,14
2800,14
2801,14
2802,13
2803,13
2804,13
2805,13
2806,13
2807,12
2808,12
2809,12
2810,12
2811,12
2812,13
2813,12
2814,12
2815,12
2816,12
2817,12
2818,12
2819,12
2820,10
2821,10
2822,10
2823,11
2824,11
2825,11
2826,11
2827,11
2828,11
2829,11
2830,11
2831,11
2832,10
2833,10
2834,10
2835,11
2836,12
2837,12
2838,12
2839,12
2840,12
2841,12
2842,12
2843,12
2844,12
2845,12
2846,11
2847,11
2848,11
2849,11
2850,11
2851,11
2852,11
2853,11
2854,11
2855,11
2856,11
2857,11
2858,11
2859,11
2860,11
2861,11
2862,11
2863,11
2864,12
2865,11
2866,11
2867,11
2868,11
2869,11
2870,11
2871,11
2872,11
2873,11
2874,11
2875,11
2876,11
2877,11
2878,11
2879,12
2880,12
2881,12
2882,13
2883,13
2884,13
2885,14
2886,14
2887,14
2888,14
2889,14
2890,14
2891,14
2892,12
2893,11
2894,12
2895,13
2896,13
2897,13
2898,13
2899,13
2900,13
2901,13
2902,13
2903,12
2904,11
2905,11
2906,11
2907,11
2908,11
2909,11
2910,11
2911,11
2912,11
2913,11
2914,11
2915,12
2916,13
2917,13
2918,13
2919,13
2920,13
2921,13
2922,13
2923,14
2924,14
2925,13
2926,12
2927,11
2928,12
2929,12
2930,12
2931,12
2932,12
2933,11
2934,11
2935,11
2936,11
2937,11
2938,11
2939,11
2940,11
2941,11
2942,11
2943,11
2944,11
2945,11
2946,11
2947,11
2948,11
2949,11
2950,11
2951,10
2952,11
2953,11
2954,11
2955,11
2956,11
2957,11
2958,11
2959,11
2960,10
2961,10
2962,10
2963,10
2964,10
2965,10
2966,10
2967,10
2968,10
2969,10
2970,10
2971,10
2972,10
2973,11
2974,12
2975,12
2976,12
2977,12
2978,12
2979,12
2980,12
2981,12
2982,12
2983,12
2984,12
2985,12
2986,12
2987,13
2988,13
2989,13
2990,13
2991,13
2992,13
2993,13
2994,13
2995,13
